updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:38:04,0.000,3.472,5.498,0.000,0.000,0.411
28/09/2021 23:37:59,0.000,3.472,5.510,0.000,0.000,0.391
28/09/2021 23:37:54,0.000,3.472,5.498,0.000,0.000,0.425
28/09/2021 23:37:49,0.000,3.459,5.498,0.000,0.000,0.323
28/09/2021 23:37:44,0.000,3.459,5.498,0.000,0.000,0.415
28/09/2021 23:37:39,0.000,3.472,5.498,0.000,0.000,0.401
28/09/2021 23:37:34,0.000,3.472,5.510,0.000,0.000,0.415
28/09/2021 23:37:29,0.000,3.447,5.510,0.000,0.000,0.362
28/09/2021 23:37:24,0.000,3.459,5.498,0.000,0.000,0.337
28/09/2021 23:37:19,0.000,3.459,5.474,0.000,0.000,0.425
28/09/2021 23:37:14,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:37:09,0.000,3.472,5.498,0.000,0.000,0.323
28/09/2021 23:37:04,0.000,3.472,5.474,0.000,0.000,0.327
28/09/2021 23:36:59,0.000,3.472,5.462,0.000,0.000,0.406
28/09/2021 23:36:54,0.000,3.435,5.486,0.000,0.000,0.327
28/09/2021 23:36:49,0.000,3.472,5.498,0.000,0.000,0.323
28/09/2021 23:36:44,0.000,3.447,5.498,0.000,0.000,0.435
28/09/2021 23:36:39,0.000,3.459,5.510,0.000,0.000,0.396
28/09/2021 23:36:34,0.000,3.459,5.522,0.000,0.000,0.420
28/09/2021 23:36:29,0.000,3.459,5.486,0.000,0.000,0.420
28/09/2021 23:36:24,0.000,3.459,5.510,0.000,0.000,0.342
28/09/2021 23:36:19,0.000,3.472,5.486,0.000,0.000,0.420
28/09/2021 23:36:14,0.000,3.459,5.522,0.000,0.000,0.362
28/09/2021 23:36:09,0.000,3.447,5.510,0.000,0.000,0.420
28/09/2021 23:36:04,0.000,3.459,5.498,0.000,0.000,0.371
28/09/2021 23:35:59,0.000,3.447,5.510,0.000,0.000,0.381
28/09/2021 23:35:54,0.000,3.472,5.498,0.000,0.000,0.415
28/09/2021 23:35:49,0.000,3.447,5.498,0.000,0.000,0.396
28/09/2021 23:35:44,0.000,3.472,5.498,0.000,0.000,0.420
28/09/2021 23:35:39,0.000,3.459,5.486,0.000,0.000,0.381
28/09/2021 23:35:34,0.000,3.472,5.510,0.000,0.000,0.386
28/09/2021 23:35:29,0.000,3.472,5.535,0.000,0.000,0.342
28/09/2021 23:35:24,0.000,3.459,5.510,0.000,0.000,0.327
28/09/2021 23:35:19,0.000,3.447,5.510,0.000,0.000,0.445
28/09/2021 23:35:14,0.000,3.459,5.510,0.000,0.000,0.327
28/09/2021 23:35:09,0.000,3.459,5.498,0.000,0.000,0.391
28/09/2021 23:35:04,0.000,3.472,5.522,0.000,0.000,0.415
28/09/2021 23:34:59,0.000,3.447,5.522,0.000,0.000,0.401
28/09/2021 23:34:54,0.000,3.459,5.498,0.000,0.000,0.401
28/09/2021 23:34:49,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:34:44,0.000,3.459,5.498,0.000,0.000,0.430
28/09/2021 23:34:39,0.000,3.472,5.474,0.000,0.000,0.396
28/09/2021 23:34:34,0.000,3.472,5.498,0.000,0.000,0.420
